Filename,Upper left,Lower left,Upper right,Lower right,Center
23b7185f-1df4-4231-b674-f14071c9a3eb_left.tif,"-111.9749951,33.0757570","-111.9749951,33.0757469","-111.9749863,33.0757570","-111.9749863,33.0757469","-111.9749907,33.0757519"
b514f644-3a19-4667-8378-9bbcd091ba58_left.tif,"-111.9749896,33.0757570","-111.9749896,33.0757469","-111.9749807,33.0757570","-111.9749807,33.0757469","-111.9749851,33.0757520"
215940b1-0460-4081-bfd4-7f7771a8c010_left.tif,"-111.9749837,33.0757571","-111.9749837,33.0757470","-111.9749749,33.0757571","-111.9749749,33.0757470","-111.9749793,33.0757521"
3e1b0afe-2a69-4f93-b39c-ab14459a95e4_left.tif,"-111.9749786,33.0757571","-111.9749786,33.0757470","-111.9749698,33.0757571","-111.9749698,33.0757470","-111.9749742,33.0757521"
d847c412-ded2-45f1-83a3-7907514e9b8b_left.tif,"-111.9749730,33.0757570","-111.9749730,33.0757469","-111.9749642,33.0757570","-111.9749642,33.0757469","-111.9749686,33.0757520"
74d17f32-92ed-449b-87e7-2f34f6adfa39_left.tif,"-111.9749678,33.0757570","-111.9749678,33.0757469","-111.9749590,33.0757570","-111.9749590,33.0757469","-111.9749634,33.0757520"
28c97244-df8e-4f78-8682-650c3bd7150a_left.tif,"-111.9749621,33.0757570","-111.9749621,33.0757469","-111.9749533,33.0757570","-111.9749533,33.0757469","-111.9749577,33.0757520"
9605de4f-8b31-4b67-96df-e7d867c7d9ff_left.tif,"-111.9749568,33.0757569","-111.9749568,33.0757469","-111.9749480,33.0757569","-111.9749480,33.0757469","-111.9749524,33.0757519"
6dc38fe3-c0c9-4993-910d-2c65d154a8d1_left.tif,"-111.9749513,33.0757569","-111.9749513,33.0757469","-111.9749424,33.0757569","-111.9749424,33.0757469","-111.9749469,33.0757519"
7f453b2c-cd65-4c6b-a38b-73b702959e86_left.tif,"-111.9749462,33.0757569","-111.9749462,33.0757469","-111.9749374,33.0757569","-111.9749374,33.0757469","-111.9749418,33.0757519"
c3fb3684-86aa-4a28-9c45-5c4f00505820_left.tif,"-111.9749406,33.0757569","-111.9749406,33.0757469","-111.9749317,33.0757569","-111.9749317,33.0757469","-111.9749362,33.0757519"
042c42fb-6cfe-419e-acf9-a37bad5f35b4_left.tif,"-111.9749352,33.0757569","-111.9749352,33.0757468","-111.9749264,33.0757569","-111.9749264,33.0757468","-111.9749308,33.0757518"
7250af1e-f81f-4709-bbd9-b9b59d8c6f34_left.tif,"-111.9749296,33.0757569","-111.9749296,33.0757468","-111.9749207,33.0757569","-111.9749207,33.0757468","-111.9749251,33.0757518"
f67c9411-2f22-4e79-b293-160f851e6d11_left.tif,"-111.9749240,33.0757569","-111.9749240,33.0757468","-111.9749152,33.0757569","-111.9749152,33.0757468","-111.9749196,33.0757518"
84b90293-41c3-4676-814e-5806c40dccc3_left.tif,"-111.9749178,33.0757572","-111.9749178,33.0757471","-111.9749090,33.0757572","-111.9749090,33.0757471","-111.9749134,33.0757521"
cb95bd6d-aee5-4a69-a517-78a04b7ea309_left.tif,"-111.9749125,33.0757572","-111.9749125,33.0757471","-111.9749036,33.0757572","-111.9749036,33.0757471","-111.9749080,33.0757521"
3c44fe2a-dbe9-4160-818d-2ecf6e2b7ae4_left.tif,"-111.9749069,33.0757572","-111.9749069,33.0757471","-111.9748981,33.0757572","-111.9748981,33.0757471","-111.9749025,33.0757522"
6a2656b5-3844-4568-95dd-120ab7bdcbdb_left.tif,"-111.9749018,33.0757572","-111.9749018,33.0757471","-111.9748930,33.0757572","-111.9748930,33.0757471","-111.9748974,33.0757522"
9c45a78d-44ae-49e2-b260-52c22ec5781e_left.tif,"-111.9748960,33.0757570","-111.9748960,33.0757469","-111.9748871,33.0757570","-111.9748871,33.0757469","-111.9748916,33.0757520"
a9add22c-5824-40e6-97f8-696d731e1f3e_left.tif,"-111.9748908,33.0757573","-111.9748908,33.0757472","-111.9748819,33.0757573","-111.9748819,33.0757472","-111.9748863,33.0757523"
a7a89173-68fb-4962-b709-d22a4a7d6b42_left.tif,"-111.9748852,33.0757573","-111.9748852,33.0757472","-111.9748763,33.0757573","-111.9748763,33.0757472","-111.9748808,33.0757523"
4f7af68f-8efe-4316-8704-231c8d6a1f11_left.tif,"-111.9748796,33.0757573","-111.9748796,33.0757472","-111.9748708,33.0757573","-111.9748708,33.0757472","-111.9748752,33.0757523"
e59701df-c7c2-46fe-91c7-85f05d63f66f_left.tif,"-111.9748743,33.0757570","-111.9748743,33.0757470","-111.9748655,33.0757570","-111.9748655,33.0757470","-111.9748699,33.0757520"
0fbfab8c-bbc0-4262-8272-46e4fdd1419b_left.tif,"-111.9748694,33.0757569","-111.9748694,33.0757469","-111.9748606,33.0757569","-111.9748606,33.0757469","-111.9748650,33.0757519"
708c097f-e17c-49f2-b2a1-d9863936ac99_left.tif,"-111.9748639,33.0757572","-111.9748639,33.0757472","-111.9748551,33.0757572","-111.9748551,33.0757472","-111.9748595,33.0757522"
f1bbbf42-7869-4b0f-ba26-d41f0f84abd7_left.tif,"-111.9748583,33.0757572","-111.9748583,33.0757472","-111.9748495,33.0757572","-111.9748495,33.0757472","-111.9748539,33.0757522"
f04d4a18-9588-4923-9df2-16b94044ba84_left.tif,"-111.9748530,33.0757572","-111.9748530,33.0757471","-111.9748442,33.0757572","-111.9748442,33.0757471","-111.9748486,33.0757521"
66515c19-0ef7-49b3-b6a7-07442e66d796_left.tif,"-111.9748481,33.0757573","-111.9748481,33.0757472","-111.9748393,33.0757573","-111.9748393,33.0757472","-111.9748437,33.0757522"
